Subject Id,Subject Title,Prerequisites,Corequisites,Joint Subjects,Equivalent Subjects,Meets With Subjects,Not Offered Year,Is Offered Fall Term,Is Offered Iap,Is Offered Spring Term,Is Offered Summer Term,Instructors,Comm Req Attribute,Hass Attribute,Gir Attribute
"21G.752","Spanish II","21G.751,permission of instructor",,,"21G.700,21G.782,21G.783","21G.702",,Y,,Y,,,,,
"21G.783","Spanish II (Study Abroad)","21G.751,permission of instructor",,,"21G.700,21G.702,21G.752","21G.782",,,Y,,,,,,
"21G.793","Spanish III in Madrid","21G.702,permission of instructor",,,,,,,Y,,,,,"HASS-H",
"21G.795","Advanced Spanish Communication in Spain","21G.704,permission of instructor",,,,,,,Y,,,,,"HASS-H",
"21G.911","Independent Study",,,,,,,,,,,"J. Roberge",,,
"21G.S01","Special Subject: Global Studies and Languages","",,,,,,,,Y,,,,,
"21G.S02","Special Subject: Global Studies and Languages","",,,,,"2018-2019",Y,,,,"F. Heberer",,,
"21G.S03","Special Subject: Global Studies and Languages","",,,,,,,,Y,,,,,
"21G.S04","Special Subject: Global Studies and Languages","",,,,,,,,Y,,,,,
"21G.S05","Special Subject: Global Studies and Languages","",,,,,,,Y,,,,,,
"21G.S06","Special Subject: Global Studies and Languages","",,,,,,,,Y,,,,,
"21G.S07","Special Subject: Global Studies and Languages","",,,,,,,,Y,,,,,
"21G.S08","Special Subject: Global Studies and Languages","",,,,,,,,Y,,,,,
"21G.THT","Pre-Thesis Tutorial: Global Studies and Languages","Permission of instructor",,,,,,Y,,Y,,"J. Roberge",,,
"21G.THU","Global Studies and Languages Thesis","21G.THT",,,,,,Y,Y,Y,Y,"J. Roberge",,,
"21G.UR","Undergraduate Research","",,,"21G.URG",,,Y,Y,Y,Y,"J. Roberge",,,
"21G.URG","Undergraduate Research","",,,"21G.UR",,,Y,Y,Y,Y,"J. Roberge",,,
"21H.001","How to Stage a Revolution","",,,,,"2018-2019",Y,,,,"M. Ghachem","CI-H","HASS-H",
"21H.007","Empire: Introduction to Ancient and Medieval Studies","",,"21L.014[J]",,,,,,Y,,,"CI-H","HASS-H",
"21H.009","The World: 1400-Present","",,,,,"2017-2018",Y,,,,,"CI-H","HASS-H",
"21H.101","American History to 1865","",,,,,"2017-2018",Y,,,,,,"HASS-H",
"21H.102","American History since 1865","",,,,,,,,Y,,,"CI-H","HASS-H",
"21H.106","Black Matters: Introduction to Black Studies","",,"24.912[J],21L.008[J],21W.741[J],WGS.190[J]",,,,,,Y,,,"CI-H",,
"21H.107","Introduction to Asian American Studies: Historical and Contemporary Issues","",,"21G.043[J]",,,"2017-2018",Y,,,,,,"HASS-H",
"21H.108","Sexual and Gender Identities","",,"WGS.110[J]",,,,Y,,,,"C. Horan",,"HASS-H",
"21H.130","The Ancient World: Greece","",,,,,,Y,,,,"S. Ostrow","CI-H","HASS-H",
"21H.132","The Ancient World: Rome","",,,,,"2017-2018",,,Y,,,"CI-H","HASS-H",
"21H.133","The Medieval World: CE 200-1500","",,,,,"2017-2018",,,Y,,,,"HASS-H",
"21H.134","Medieval Economic History in Comparative Perspective","",,"14.70[J]",,,,Y,,,,"S. Bobrycki","CI-H","HASS-S",
"21H.141","Renaissance to Revolution: Europe, 1300-1800","",,,,,"2017-2018",,,Y,,,"CI-H","HASS-H",
"21H.151","Traditional China: Earliest Times to 1644","",,,,,"2017-2018",,,Y,,,,"HASS-H",
"21H.152","Modern China: 1644 to the Present","",,,,,,,,Y,,,,"HASS-H",
"21H.154","Inventing the Samurai","",,,,,,,,Y,,,,"HASS-H",
"21H.155","Modern Japan: 1600 to Present","",,,,,"2017-2018",,,Y,,,,"HASS-H",
"21H.157","The Making of Modern South Asia","",,,,,,Y,,,,"S. Aiyar",,"HASS-S",
"21H.160","Islam, the Middle East, and the West","",,,,,,Y,,,,"P. Alimagham",,"HASS-H",
"21H.161","The Middle East in the Twentieth Century","",,,,,,,,Y,,,"CI-H","HASS-H",
"21H.165","A Survey of Modern African History","",,,,,,,,Y,,,,"HASS-H",
"21H.170","Introduction to Latin American Studies","",,"17.55[J],21A.130[J],21G.084[J]",,,,,,Y,,,"CI-H","HASS-S",
"21H.171","Latin America: Revolution, Dictatorship, and Democracy, 1850 to Present","",,,,,,Y,,,,"W. San Martin Aedo",,"HASS-H",
"21H.172","Latin America Through Film","",,"21G.078[J]",,,"2017-2018",,,Y,,,,"HASS-H",
"21H.181","Libertarianism in History","",,"17.035[J]",,,,,,Y,,,,"HASS-H",
"21H.185","Environment and History","",,"12.386[J]",,,,Y,,,,"H. Ritvo","CI-H","HASS-S",
"21H.201","The American Revolution","",,,,,"2017-2018",,,Y,,,,"HASS-H",
"21H.205","The Civil War and the Emergence of Modern America: 1861-1890","Permission of instructor",,"STS.027[J]",,"STS.427","2017-2018",Y,,,,,,"HASS-H",
"21H.211","The United States in the Nuclear Age","",,,,,"2017-2018",,,Y,,,,"HASS-H",
"21H.213","The War at Home: American Politics and Society in Wartime","",,"17.28[J]",,,"2017-2018",,,Y,,,,"HASS-S",
"21H.214","War and American Society","",,,,,"2017-2018",Y,,,,,,"HASS-H",
"21H.217","American Urban History","",,"11.013[J]",,,,Y,,,,"R. Fogelson","CI-H","HASS-H",
"21H.218","History of the Built Environment in the US","",,"11.014[J]",,,,Y,,,,"R. Fogelson","CI-H","HASS-H",
"21H.220","Metropolis: A Comparative History of New York City","",,"11.150[J]",,,"2017-2018",Y,,,,,,"HASS-H",
"21H.226","Riots, Strikes, and Conspiracies in American History","",,"11.015[J]",,,,,,Y,,,"CI-H","HASS-H",
"21H.227","Constitutional Law in US History","",,,,,,Y,,,,"C. Capozzola",,"HASS-S",
"21H.228","American Classics","",,,,,,Y,,,,,"CI-H","HASS-H",
"21H.229","The Black Radical Tradition in America","",,,,,"2017-2018",,,Y,,,,"HASS-H",
"21H.230","Barbarians, Saints, and Emperors","",,,,,,,,Y,,,,"HASS-H",
"21H.237","The City of Athens in the Age of Pericles","",,,,,"2017-2018",Y,,,,,,"HASS-H",
"21H.238","The Vikings","",,,,,,Y,,,,"E. Goldberg",,"HASS-H",
"21H.239","The City of Rome in the Age of the Caesars","",,,,,,Y,,,,"W. Broadhead",,"HASS-H",
"21H.240","The World of Charlemagne","",,,,,"2017-2018",Y,,,,,"CI-H","HASS-H",
"21H.241","France: Enlightenment and Revolution","",,"21G.054[J]",,,"2017-2018",Y,,,,,,"HASS-H",
"21H.242","Frenchness in an Era of Globalization","One intermediate subject in French,permission of instructor",,"21G.322[J]",,,"2017-2018",Y,,,,,,"HASS-H",
"21H.244","Imperial and Revolutionary Russia: Culture and Politics, 1700-1917","",,"21G.085[J]",,,,Y,,,,"E. Wood",,"HASS-H",
"21H.245","Soviet and Post-Soviet Politics and Society: 1917 to the Present","",,"17.57[J],21G.086[J]",,,,,,Y,,,"CI-H","HASS-S",
"21H.253","The Global Chinese: Chinese Migration, 1567-Present","",,"21G.075[J]",,"21G.196","2017-2018",Y,,,,,,"HASS-H",
"21H.260","Cities in the Middle East: History, Politics and Society","",,,,,"2017-2018",Y,,,,,,"HASS-S",
"21H.262","Palestine and the Arab-Israeli Conflict","",,,,,"2017-2018",Y,,,,,,"HASS-H",
"21H.263","Women and Gender in the Middle East and North Africa","",,"WGS.220[J]",,,,,,Y,,,,"HASS-H",
"21H.273","From Coca to Cocaine: Drug Economies in Latin America","",,,,,"2017-2018",,,Y,,,,"HASS-H",
"21H.274","Creation of a Continent: Representations of Hispanic America, 1492-1898, in Literature and Film","One intermediate Spanish subject,permission of instructor",,"21G.731[J]",,,"2018-2019",,,Y,,,,"HASS-H",
"21H.285","Making the Modern World: The Industrial Revolution in Global Perspective","",,"STS.025[J]",,,"2017-2018",,Y,Y,Y,,,"HASS-H",
"21H.315","American Consumer Culture","",,,,,"2017-2018",,,Y,,,,"HASS-H",
"21H.319","Race, Crime, and Citizenship in American Law","",,,,,,,,Y,,,,"HASS-S",
"21H.320","Gender and the Law in US History","",,"WGS.161[J]",,,"2017-2018",Y,,,,,,"HASS-H",
"21H.321","Downtown","",,"11.026[J]",,"11.339",,,,Y,,,,"HASS-H",
"21H.322","Christianity in America","",,,,,"2017-2018",Y,,,,,,"HASS-H",
"21H.331","Julius Caesar and the Fall of the Roman Republic","",,,,,,Y,,,,"W. Broadhead",,"HASS-H",
"21H.333","Early Christianity","",,,,,,Y,,,,"E. Goldberg",,"HASS-H",
"21H.336","The Making of a Roman Emperor","",,,,,"2017-2018",,,Y,,,,"HASS-H",
"21H.343","Making Books in the Renaissance and Today","",,"CC.120[J]",,,,Y,,,,"J. Ravel",,"HASS-A",
"21H.350","Business in China Since 1800","",,,,,"2018-2019",,,Y,,,,"HASS-H",
"21H.351","Shanghai and China's Modernization","",,"11.153[J]",,,"2017-2018",Y,,,,,,"HASS-H",
"21H.354","World War II in Asia","",,,,,,,,Y,,,,"HASS-H",
"21H.357","South Asian Migrations","",,,,,,,,Y,,,,"HASS-H",
"21H.358","Colonialism in South Asia and Africa","",,,,"21H.958",,Y,,,,"S. Aiyar",,"HASS-H",
"21H.365","Minorities and Majorities in the Middle East","",,,,,,,,Y,,,,"HASS-H",
"21H.380","People and Other Animals","",,"21A.411[J]",,"21A.419[J],21H.980[J]","2017-2018",Y,,,,,,"HASS-S",
"21H.381","Women and War","",,"WGS.222[J]",,,,Y,,,,"L. Ekmekcioglu",,"HASS-S",
"21H.382","Capitalism in the Age of Revolution","",,,,,"2017-2018",Y,,,,,,"HASS-H",
"21H.383","Technology and the Global Economy, 1000-2000","",,,,"21H.982",,,,Y,,,,"HASS-S",
