Subject Id,Subject Title,Prerequisites,Corequisites,Joint Subjects,Equivalent Subjects,Meets With Subjects,Not Offered Year,Is Offered Fall Term,Is Offered Iap,Is Offered Spring Term,Is Offered Summer Term,Instructors,Comm Req Attribute,Hass Attribute,Gir Attribute
"1.251","Comparative Land Use and Transportation Planning","Permission of Instructor",,"11.526[J]",,,,,,Y,,"C. Zegras",,,
"1.252","Urban Transportation Planning","Permission of instructor",,"11.540[J]",,,,Y,,,,"F. Salvucci, M. Murga",,,
"1.253","Transportation Policy, the Environment, and Livable Communities","Permission of instructor",,"11.543[J]",,"1.153",,,,Y,,"J. Coughlin",,,
"1.254","Transport Modeling Course","Permission of instructor",,,,,,,,Y,,,,,
"1.258","Public Transportation Systems","1.201,permission of instructor",,"11.541[J]",,,,,,Y,,,,,
"1.260","Logistics Systems","Permission of instructor",,"15.770[J],IDS.730[J],SCM.260[J]",,,,Y,,,,"Y. Sheffi, C. Caplice",,,
"1.261","Case Studies in Logistics and Supply Chain Management","Permission of instructor",,"15.771[J],SCM.261[J]",,,,,,Y,,"J. Byrnes",,,
"1.265","Global Supply Chain Management","1.260,1.261,15.761,15.778,permission of instructor",,"2.965[J],15.765[J],SCM.265[J]",,,,,,Y,,"B. Arntzen",,,
"1.27","Studies in Transportation","Permission of instructor",,,,,,Y,,Y,Y,,,,
"1.271","The Theory of Operations Management","15.081J,6.251J,6.436J;permission of instructor",,"15.764[J],IDS.250[J]",,,,,,Y,,"D. Simchi-Levi, N. Trichakis, K. Zheng",,,
"1.273","Supply Chain Planning","1.260,15.761",,"15.762[J],IDS.735[J]",,,,,,Y,,"D. Simchi-Levi",,,
"1.274","Manufacturing System and Supply Chain Design","1.260,15.761,15.778",,"15.763[J],IDS.736[J]",,,,,,Y,,"D. Simchi-Levi",,,
"1.275","Business and Operations Analytics","Permission of instructor",,"IDS.305[J]",,,"2017-2018",,,Y,,"D. Simchi-Levi",,,
"1.284","Analyzing and Accounting for Regional Economic Change","14.03;14.04",,"11.481[J]",,,,,,Y,,,,,
"1.285","Regional Socioeconomic Impact Analyses and Modeling","11.481J,permission of instructor",,"11.482[J]",,,,Y,,,,"K. R. Polenske",,,
"1.286","Urban Energy Systems and Policy","11.203,14.01,permission of instructor",,"11.477[J]",,"11.165",,Y,,,,"D. Hsu",,,
"1.322","Soil Behavior","1.361",,,,,"2018-2019",,,Y,,"A. J. Whittle",,,
"1.331","Advanced Soil Dynamics","Permission of instructor",,,,,,,,Y,,"E. Kausel",,,
"1.351","Theoretical Soil Mechanics","1.361",,,,,"2017-2018",,,Y,,"A. J. Whittle",,,
"1.361","Advanced Soil Mechanics","1.036",,,,"1.032",,Y,,,,"A. Whittle",,,
"1.364","Advanced Geotechnical Engineering","1.361",,,,,,Y,,,,"A. Whittle",,,
"1.37","Geotechnical Measurements and Exploration","1.035",,,,,,Y,,,,,,,
"1.38","Engineering Geology","Permission of instructor",,,,,,Y,,,,"H. H. Einstein",,,
"1.381","Rock Mechanics","1.38;1.361",,,,,"2017-2018",,,Y,,"H. H. Einstein",,,
"1.383","Underground Construction","1.361,1.38,permission of instructor",,,,,"2018-2019",,,Y,,"H. H. Einstein",,,
"1.39","Independent Study in Geotechnical Engineering","Permission of instructor",,,,,,Y,,Y,Y,"Information: A. J. Whittle",,,
"1.462","Entrepreneurship in Construction and Real Estate Development","Permission of instructor",,"11.345[J]",,,,Y,,,,"J. F. Kennedy",,,
"1.472","Innovative Project Delivery in the Public and Private Sectors","Permission of instructor",,"11.344[J]",,,,,,Y,,"C. M. Gordon",,,
"1.541","Mechanics and Design of Concrete Structures","1.035",,,,"1.054",,Y,,,,"O. Buyukozturk",,,
"1.545","Atomistic Modeling and Simulation of Materials and Structures","Permission of instructor",,,,,,Y,,,,"M. J. Buehler",,,
"1.562","Structural Design Project I","",,,,,,Y,,,,"G. Herning",,,
"1.563","Structural Design Project II","",,,,,,,,Y,,"J. Ochsendorf",,,
"1.57","Mechanics of Materials: An Energy Approach","1.050,permission of instructor",,,,,,Y,,,,"F. J. Ulm",,,
"1.570","Micromechanics and Durability of Solids","1.050;1.57;permission of instructor",,,,,"2017-2018",,,Y,,"F. J. Ulm",,,
"1.571","Modeling and Analysis of Structures","Permission of instructor",,,,,,,,Y,,,,,
"1.572","Structural Systems","Permission of instructor",,,,,,,,Y,,,,,
"1.573","Structural Mechanics","2.002",,"2.080[J]",,,,Y,,,,"T. Wierzbicki, H. Schmidt",,,
"1.575","Computational Structural Design and Optimization","Permission of instructor",,"4.450[J]",,,"2017-2018",Y,,,,"C. Mueller",,,
"1.581","Structural Dynamics","18.03,permission of instructor",,"2.060[J],16.221[J]",,"1.058",,Y,,,,"T. Cohen",,,
"1.582","Design of Steel Structures","Permission of instructor",,,,,"2017-2018",Y,,,,"J. Ochsendorf, G. Herning",,,
"1.589","Studies in Structural Design and Analysis","Permission of instructor",,,,,,Y,,Y,Y,"Information: O. Buyukozturk",,,
"1.61","Transport Processes in the Environment","1.060B",,,,"1.061",,Y,,,,"H. M. Nepf",,,
"1.63","Advanced Fluid Dynamics","18.085;2.25,permission of instructor.",,"2.26[J]",,,,,,Y,,"T. R. Akylas, G. H. McKinley, R. Stocker",,,
"1.631","Fluid Dynamics and Disease","",,"2.250[J],HST.537[J]",,,,,,Y,,"L. Bourouiba",,,
"1.64","Physical Limnology","1.061",,,,"1.064","2018-2019",,,Y,,"H. M. Nepf",,,
"1.66","Problems in Water Resources and Environmental Engineering","Permission of instructor",,,,,,Y,,Y,Y,,,,
"1.67","Sediment Transport and Coastal Processes","1.061",,,,,"2018-2019",,,Y,,,,,
"1.685","Nonlinear Dynamics and Waves","Permission of instructor",,"2.034[J],18.377[J]",,,"2018-2019",,,Y,,"T. R. Akylas",,,
"1.686","Nonlinear Dynamics and Turbulence","1.060A",,"2.033[J],18.358[J]",,"1.068","2017-2018",,,Y,,"L. Bourouiba",,,
"1.69","Introduction to Coastal Engineering","1.061",,,,,,Y,,,,"J. Trowbridge",,,
"1.692","Ocean Wave Interaction with Ships and Offshore Energy Systems","2.20;18.085",,"2.24[J]",,,"2017-2018",,,Y,,"P. D. Sclavounos",,,
"1.699","Projects in Oceanographic Engineering","Permission of instructor",,"2.689[J]",,,,Y,,Y,Y,"J. Preisig, Woods Hole Staff",,,
"1.714","Surface Hydrology","1.070B,permission of instructor",,,,,"2018-2019",Y,,,,"E. A. B. Eltahir",,,
"1.72","Groundwater Hydrology","1.061",,,,"1.072",,Y,,,,"C. Harvey",,,
"1.721","Advanced Subsurface Hydrology","1.72;18.075;permission of instructor",,,,,"2018-2019",,,Y,,"C. Harvey",,,
"1.723","Computational Methods for Flow in Porous Media","Permission of instructor",,,,,,,,Y,,"R. Juanes",,,
"1.731","Water Resource Systems","1.070B,permission of instructor",,,,"1.075",,Y,,,,"D. McLaughlin",,,
"1.74","Land, Water, Food, and Climate","",,,,,,,,Y,,"D. McLaughlin",,,
"1.76","Aquatic Chemistry","Chemistry GIR,5.60",,,,,,Y,,,,"J. Seewald",,,
"1.77","Water Quality Control","1.060B",,,,,,,,Y,,"E. E. Adams",,,
"1.78","Introduction to Soil Science","",,,,"1.078","2017-2018",Y,,,,"B. Kocar",,,
"1.801","Environmental Law, Policy, and Economics: Pollution Prevention and Control","",,"11.021[J],17.393[J],IDS.060[J]",,"1.811[J],11.630[J],15.663[J],IDS.540[J]",,Y,,,,"N. Ashford, C. Caldart",,"HASS-S",
"1.802","Regulation of Chemicals, Radiation, and Biotechnology","1.801,permission of instructor",,"11.022[J],IDS.061[J]",,"1.812[J],10.805[J],11.631[J],IDS.436[J],IDS.541[J]",,,,Y,,"N. Ashford, C. Caldart",,,
"1.811","Environmental Law, Policy, and Economics: Pollution Prevention and Control","",,"11.630[J],15.663[J],IDS.540[J]",,"1.801[J],11.021[J],17.393[J],IDS.060[J]",,Y,,,,"N. Ashford, C. Caldart",,,
"1.812","Regulation of Chemicals, Radiation, and Biotechnology","1.811,permission of instructor",,"11.631[J],IDS.541[J]",,"1.802[J],10.805[J],11.022[J],IDS.061[J],IDS.436[J]",,,,Y,,"N. Ashford, C.Caldart",,,
"1.813","Technology, Globalization, and Sustainable Development","Permission of instructor",,"11.466[J],15.657[J],IDS.437[J]",,,,Y,,,,"N. Ashford",,,
"1.818","Sustainable Energy","Permission of instructor",,"2.65[J],10.391[J],11.371[J],22.811[J]",,"2.650[J],10.291[J],22.081[J]",,Y,,,,"M. W. Golay",,,
"1.83","Environmental Organic Chemistry","5.60;18.03",,,,"1.831",,Y,,,,"P. M. Gschwend",,,
"1.831","Environmental Organic Chemistry","5.60;18.03",,,,"1.83",,Y,,,,"P. M. Gschwend",,,
"1.84","Atmospheric Chemistry","5.60",,"10.817[J],12.807[J]",,,,Y,,,,"J. H. Kroll",,,
"1.841","Atmospheric Composition in the Changing Earth System","1.84",,"12.817[J]",,,"2018-2019",,,Y,,"C. Heald",,,
"1.842","Aerosol and Cloud Microphysics and Chemistry","Permission of instructor",,"12.814[J]",,"12.338",,,,Y,,"D. Cziczo",,,
"1.851","Water, Sanitation, Hygiene and Environmental Sanitation (WASH-ENV) in Low- and Middle-income Countries","",,"11.479[J]",,,,,,Y,,,,,
"1.86","Methods and Problems in Microbiology","",,"7.492[J],20.445[J]",,,,Y,,,,"M. Laub",,,
"1.87","Microbial Genetics and Evolution","7.03,7.05,permission of instructor",,"7.493[J],12.493[J],20.446[J]",,,,Y,,,,"A. D. Grossman, E. Alm",,,
"1.871","Computational Ecology","",,,,,,Y,,,,"O. Cordero",,,
"1.873","Fundamentals of Network and Community Ecology","18.06",,,,"1.087",,,,Y,,"S. Saavedra",,,
"1.89","Environmental Microbiology","Biology GIR",,,,"1.089",,,,Y,,"M. Polz, O. Cordero",,,
"1.899","Career Reengineering Program and Professional Development Workshops","Permission of instructor",,,,,,,,Y,,,,,
"1.95","Teaching College-Level Science and Engineering","",,"5.95[J],7.59[J],8.395[J],18.094[J]",,"2.978",,Y,,,,"J. Rankin",,,
"1.968","Graduate Studies in Civil and Environmental Engineering","Permission of instructor",,,,,,Y,,Y,Y,,,,
"1.982","Research in Civil and Environmental Engineering","",,,,,,Y,,Y,Y,,,,
"1.984","Teaching Experience in Civil and Environmental Engineering","Permission of instructor",,,,,,Y,,Y,,,,,
"1.999","Undergraduate Studies in Civil and Environmental Engineering","",,,,,,Y,,Y,Y,,,,
"1.EPE","UPOP Engineering Practice Experience","2.EPW,permission of instructor",,,,,,Y,,Y,,,,,
"1.EPW","UPOP Engineering Practice Workshop","",,,,,,Y,Y,,,,,,
"1.THG","Graduate Thesis","Permission of instructor",,,,,,Y,Y,Y,Y,,,,
"1.THU","Undergraduate Thesis","Permission of instructor",,,,,,Y,Y,Y,Y,,,,
"1.UR","Research in Civil and Environmental Engineering","",,,,,,Y,Y,Y,Y,,,,
"1.URG","Research in Civil and Environmental Engineering",,,,,,,,,,,,,,
"1.S82","Special Problems in Environmental Microbiology and Chemistry","Permission of instructor",,,,,,Y,,Y,,"S. W. Chisholm, M. F. Polz, E. J. Alm, P. M. Gschwend, H. F. Hemond",,,
"1.S977","Special Graduate Subject in Civil and Environmental Engineering","Permission of instructor",,,,,,Y,Y,Y,,,,,
"1.S978","Special Graduate Subject in Civil and Environmental Engineering","Permission of Instructor",,,,,,Y,Y,Y,,,,,
"1.S979","Special Graduate Subject in Civil and Environmental Engineering",,,,,,,,,,,,,,
"1.S980","Special Graduate Subject in Civil and Environmental Engineering","Permission of instructor",,,,,,Y,Y,Y,,,,,
"1.S981","Special Graduate Subject in Civil and Environmental Engineering","Permission of Instructor",,,,,,Y,,,,,,,
"1.S982","Special Graduate Subject in Civil and Environmental Engineering","Permission of Instructor",,,,,,Y,,,,"Consult G. Herning",,,
"1.S991","Special Undergraduate Subject in Civil and Environmental Engineering","Permission of instructor",,,,,,Y,Y,Y,,,,,
"1.S992","Special Undergraduate Subject in Civil and Environmental Engineering",,,,,,,,,,,,,,
"1.S993","Special Undergraduate Subject in Civil and Environmental Engineering","Permission of instructor",,,,,,Y,Y,Y,Y,,,,
"2.00A","Fundamentals of Engineering Design: Explore Space, Sea and Earth","Physics I GIR;Calculus I GIR",,,,,"2018-2019",,,Y,,"D. Frey",,,
"2.00B","Toy Product Design","",,,,,,,,Y,,"D. R. Wallace",,,
"2.00C","Design for Complex Environmental Issues: Building Solutions and Communicating Ideas","",,"1.016[J],EC.746[J]",,,,,,Y,,"A. W. Epstein, S. L. Hsu",,,
"2.00","Introduction to Design","",,,,,,Y,,,,"M. Yang",,,
"2.001","Mechanics and Materials I","Physics I GIR","18.03,2.087",,,,,,,,,"S. Socrate, M. Culpepper, D. Parks, K. Kamrin",,,
