Subject Id,Subject Title,Lecture Units,Lab Units,Preparation Units,Total Units,Gir Attribute,Comm Req Attribute,Hass Attribute,Prerequisites,Corequisites,Subject Description,Joint Subjects,Meets With Subjects,Equivalent Subjects,Not Offered Year,Is Offered Fall Term,Is Offered Iap,Is Offered Spring Term,Is Offered Summer Term,Quarter Information,Instructors,Schedule
"5.363","Organic Structure Determination",1,2,1,4,"LAB2",,,"5.12","5.13","Introduces modern methods for the elucidation of the structure of organic compounds. Students carry out transition metal-catalyzed coupling reactions, based on chemistry developed in the Buchwald laboratory, using reactants of unknown structure. Students also perform full spectroscopic characterization - by proton and carbon NMR, IR, and mass spectrometry of the reactants - and carry out coupling products in order to identify the structures of each compound. Other techniques include transfer and manipulation of organic and organometallic reagents and compounds, separation by extraction, and purification by column chromatography. Satisfies 4 units of Institute Laboratory credit.",,,,,Y,,,,,"R. Danheiser, J. Van Humbeck, T. Swager","Lecture,4-231/TR/0/12;Lab,4-430/MW/0/1-5,4-430/TR/0/1-5"
"5.371","Continuous Flow Chemistry: Sustainable Conversion of Reclaimed Vegetable Oil into Biodiesel",1,2,1,4,,,,"5.13;5.363",,"Presents the theoretical and practical fundamentals of continuous flow synthesis, wherein pumps, tubes, and connectors are used to conduct chemical reactions instead of flasks, beakers, etc. Focuses on a catalytic reaction that converts natural vegetable oil into biodiesel that can be used in a variety of combustion engines. Provides instruction in several important organic chemistry experimental techniques, including purification by extraction, rotary evaporation, acid-base titration, gas chromatography (GC), and 1 H NMR.",,,,,,,Y,,,,
"5.372","Chemistry of Renewable Energy",1,2,1,4,,,,"5.03;5.352",,"Introduces the electrochemical processes that underlie renewable energy storage and recovery. Students investigate charge transfer reactions at electrode surfaces that are critical to the operation of advanced batteries, fuel cells, and electrolyzers. Develops basic theory behind inner- and outer-sphere charge transfer reactions at interfaces and applies this theory to construct mechanistic models for important energy conversion reactions including the reduction of O 2 to water and the reduction of protons to H 2 . Students will also synthesize new catalytic materials for these reactions and investigate their relative performance.",,,,,Y,,,,,"Y. Surendranath, M. Twardowski","Lecture,4-231/TR/0/12;Lab,4-430/MW/0/1-5/TR/0/1-5"
"5.373","Dinitrogen Cleavage",1,2,1,4,,,,"5.03;5.363","5.61","Introduces the research area of small-molecule activation by transition-element complexes. Covers techniques such as glove-box methods for synthesis for exclusion of oxygen and water; filtration, reaction mixture concentration, and recrystallization under a dinitrogen atmosphere and under static vacuum. Characterization methods include proton NMR spectroscopy of both paramagnetic and diamagnetic systems, Evans method magnetic susceptibility measurement, UV-Vis spectroscopy, and infrared spectroscopy of a metal-nitrogen triple bond system.",,,,,Y,,,,,"C. Cummins","Lecture,4-231/TR/0/12;Lab,4-430/MW/0/1-5/TR/0/1-5"
"5.381","Quantum Dots",1,1,1,3,,,,"5.61;5.353",,"Covers synthesis of a discrete size series of quantum dots, followed by synthesis of a single size of core/shell quantum dots utilizing air-free Schlenk manipulation of precursors. Uses characterization by absorption and fluorescence spectroscopies to rationalize the compositional/size dependence of the shell on the electronic structure of the quantum dots. Students acquire time traces of the fluorescence of single core and core/shell quantum dots using single molecule spectroscopic tools. The fluorescence on/off blinking distribution observed will be fit to a standard model. Students use Matlab for computational modeling of the electron and hole wavefunction in core and core/shell quantum dots. Analyzes several commercial applications of quantum dot technologies.",,,,,,,Y,,,,
"5.382","Time- and Frequency-resolved Spectroscopy of Photosynthesis",1,2,2,5,,,,"5.61,5.07,7.05","5.361","Uses time- and frequency-resolved fluorescence measurements to investigate photosynthetic light harvesting and energy transfer.",,,,,,,Y,,,,
"5.383","Fast-flow Peptide and Protein Synthesis",1,2,1,4,,,,"5.07,7.05;5.363",,"Develops understanding of both the theory and practice of fundamental techniques in biological chemistry, including chemical reactivity (amide-bond formation, solid phase synthesis, disulfide bond formation, and protecting group chemistry); separation science for purification and analysis, such as preparative HPLC and MALDI-TOF MS; and protein structure-function relationships (protein folding and binding). Periodically, guest lecturers from the local biotech research community will describe practical applications in industry.",,,,,,,Y,,,,
"5.43","Advanced Organic Chemistry",4,0,8,12,,,,"5.13",,"Reaction mechanisms in organic chemistry: methods of investigation, relation of structure to reactivity, and reactive intermediates. Photochemistry and organometallic chemistry, with an emphasis on fundamental reactivity, mechanistic studies, and applications in organic chemistry.",,,"5.53",,Y,,,,,"T. Swager","Lecture,4-257/TR/0/9.30-11;Recitation,4-257/F/0/11,4-257/F/0/1"
"5.44","Organometallic Chemistry",2,0,4,6,,,,"5.43,5.47,5.061,permission of instructor",,"Examination of the most important transformations of organotransition-metal species. Emphasizes basic mechanisms of their reactions, structure-reactivity relationships, and applications in synthesis.",,,,"2017-2018",,,Y,,,,
"5.45","Heterocyclic Chemistry",2,0,4,6,,,,"5.511;5.53",,"Provides an introduction to the chemistry of heterocyclic compounds. Surveys synthesis and reactivity of the major classes of heterocyclic organic compounds. Discusses the importance of these molecules in the pharmaceutical and other industries.",,,,,,,Y,,,,
"5.46","NMR Spectroscopy and Organic Structure Determination",2,0,4,6,,,,"5.43",,"Applications of 1-D and 2-D 1 H and 13 C NMR spectroscopy to organic structure determination.",,,,,,,Y,,,,
"5.47","Tutorial in Organic Chemistry",,,,2,,,,"5.43;permission of instructor",,"Systematic review of basic principles concerned with the structure and transformations of organic molecules. Problem-solving workshop format. The program is intended primarily for first-year graduate students with a strong interest in organic chemistry. Meets during the month of September.",,,,,Y,,,,,"R. Danheiser","Lecture,18-278/MWF/0/9-11,18-578/MWF/0/9-11,4-251/MWF/0/9-11"
"5.511","Synthetic Organic Chemistry I",3,0,9,12,,,,"5.43",,,,,,,Y,,,,,"R. Danheiser","Lecture,4-159/MWF/0/8.30-10"
"5.512","Synthetic Organic Chemistry II",2,0,4,6,,,,"5.511",,"General methods and strategies for the synthesis of complex organic compounds.",,,,,,,Y,,,,
