Subject Id,Subject Title,Total Units,Not Offered Year,Is Offered Fall Term,Is Offered Iap,Is Offered Spring Term,Is Offered Summer Term
2.570,Nano-to-Macro Transport Processes,12,,,,Y,
2.59,Thermal Hydraulics in Power Technology,12,2018-2019,Y,,,
2.60,Fundamentals of Advanced Energy Conversion,12,2017-2018,,,Y,
2.603,Fundamentals of Smart and Resilient Grids,12,2017-2018,Y,,,
2.61,Internal Combustion Engines,12,,,,Y,
2.611,Marine Power and Propulsion,12,,Y,,,
2.612,Marine Power and Propulsion,12,,Y,,,
2.62,Fundamentals of Advanced Energy Conversion,12,2017-2018,,,Y,
2.625,Electrochemical Energy Conversion and Storage: Fundamentals, Materials and Applications,12,2017-2018,Y,,,
2.626,Fundamentals of Photovoltaics,12,2017-2018,Y,,,
2.627,Fundamentals of Photovoltaics,12,2017-2018,Y,,,
2.63,Fundamentals of smart and Resilient Grids,12,2017-2018,Y,,,
2.64,Superconducting Magnets,12,2017-2018,,,Y,
2.65,Sustainable Energy,12,,,,,
2.650,Introduction to Sustainable Energy,12,,Y,,,
2.651,D-Lab: Energy,12,,,,Y,
2.66,Fundamentals of Energy in Buildings,12,2017-2018,Y,,,
2.670,Mechanical Engineering Tools,3,,,Y,,
2.671,Measurement and Instrumentation,12,,Y,,Y,
2.673,Instrumentation and Measurement for Biological Systems,12,,Y,,Y,
2.674,Introduction to Micro/Nano Engineering Laboratory,6,,,,,
2.675,Micro/Nano Engineering Laboratory,12,,Y,,,
2.676,Micro/Nano Engineering Laboratory,12,,Y,,,
2.678,Electronics for Mechanical Systems,6,,Y,,Y,
2.680,Unmanned Marine Vehicle Autonomy, Sensing, and Communication,12,,,,Y,
2.681,Environmental Ocean Acoustics,12,2017-2018,Y,,,
2.682,Acoustical Oceanography,12,2017-2018,,,Y,
2.683,Marine Bioacoustics and Geoacoustics,12,,,,Y,
2.684,Wave Scattering by Rough Surfaces and Inhomogeneous Media,12,2017-2018,,,Y,
2.687,Time Series Analysis and System Identification,12,,Y,,,
2.688,Principles of Oceanographic Instrument Systems -- Sensors and Measurements,12,,Y,,,
2.689,Projects in Oceanographic Engineering,,,Y,,Y,Y
2.690,Corrosion in Marine Engineering,6,,,,,Y
2.700,Principles of Naval Architecture,12,,Y,,,
2.701,Principles of Naval Architecture,12,,Y,,,
2.702,Systems Engineering and Naval Ship Design,9,,,,Y,
2.703,Principles of Naval Ship Design,12,,Y,,,
2.704,Projects in Naval Ship Conversion Design,12,,,Y,Y,
2.705,Projects in New Concept Naval Ship Design,,,Y,,Y,
2.707,Submarine Structural Acoustics,6,,,,Y,
2.708,Traditional Naval Architecture Design,2,,,Y,,
2.71,Optics,12,,Y,,,
2.710,Optics,12,,Y,,,
2.715,Optical Microscopy and Spectroscopy for Biology and Medicine,12,,,,Y,
2.717,Optical Engineering,12,2017-2018,,,Y,
2.718,Photonic Materials,12,2017-2018,Y,,,
2.719,Photonic Materials,12,2017-2018,Y,,,
2.70,FUNdaMENTALS of Precision Product Design,12,,,,Y,
2.77,FUNdaMENTALS of Precision Product Design,12,,,,Y,
2.72,Elements of Mechanical Design,12,2017-2018,,,Y,
2.720,Elements of Mechanical Design,12,2017-2018,,,Y,
2.722,D-Lab: Design,12,,,,Y,
2.723,Engineering Innovation and Design,6,,Y,,Y,
2.729,D-Lab: Design for Scale,12,,Y,,,
2.733,Engineering Systems Design,12,,Y,,,
2.734,Engineering Systems Development,12,,,,Y,
2.737,Mechatronics,12,2017-2018,Y,,,
2.739,Product Design and Development,12,,,,Y,
2.74,Bio-inspired Robotics,12,,Y,,,
2.740,Bio-inspired Robotics,12,,Y,,,
2.744,Product Design,12,,,,Y,
2.75,Medical Device Design,12,,Y,,,
2.750,Medical Device Design,12,,Y,,,
2.752,Development of Mechanical Products,12,,,,Y,
2.753,Development of Mechanical Products,12,,,,Y,
2.76,Global Engineering,12,2017-2018,Y,,,
2.760,Global Engineering,12,2017-2018,Y,,,
2.778,Large and Complex Systems Design and Concept Development,12,,Y,,,
2.772,Thermodynamics of Biomolecular Systems,12,,Y,,Y,
2.78,Principles and Practice of Assistive Technology,12,,Y,,,
2.782,Design of Medical Devices and Implants,12,,,,Y,
2.785,Cell-Matrix Mechanics,12,2017-2018,Y,,,
2.79,Biomaterials: Tissue Interactions,12,,Y,,,
2.791,Cellular Neurophysiology and Computing,12,,Y,,,
2.792,Quantitative Systems Physiology,12,,,,Y,
2.793,Fields, Forces and Flows in Biological Systems,12,,,,Y,
2.794,Cellular Neurophysiology and Computing,12,,Y,,,
2.795,Fields, Forces, and Flows in Biological Systems,12,,Y,,,
2.796,Quantitative Physiology: Organ Transport Systems,12,,,,Y,
2.797,Molecular, Cellular, and Tissue Biomechanics,12,,Y,,,
2.798,Molecular, Cellular, and Tissue Biomechanics,12,2017-2018,Y,,,
2.799,The Cell as a Machine,12,,Y,Y,,Y
2.810,Manufacturing Processes and Systems,12,,Y,,,
2.813,Energy, Materials, and Manufacturing,12,2017-2018,,,Y,
2.821,Structural Materials,12,,Y,,Y,Y
2.83,Energy, Materials and Manufacturing,12,2017-2018,,,Y,
2.830,Control of Manufacturing Processes,12,,,,Y,
